TipLabel,male_seasonal_colour,female_seasonal_colour,mating_system,paternal_care,sexual_dichromatism,log_mass,percent_ground_forage,percent_tree_cover,precipitation_seasonality,temperature_seasonality,migration,research_effort
Rhamphocoris_clotbey,0,0,0,1,48.33956215,1.692406235,100,0,0.282517016,0.011852567,0,1
Spizocorys_conirostris,0,0,0,1,33.77025922,1.155336037,100,5,0.65790838,0.006641974,0,1
Spizocorys_fringillaris,0,0,0,1,14.98338271,1.283301229,80,5,0.644072294,0.006701456,0,1
Spizocorys_obbiensis,0,0,0,1,47.84801766,1.131939295,100,4,0.609435439,0.001161255,0,0
Spizocorys_personata,0,0,NA,1,11.83247136,1.294466226,100,5,0.488559887,0.001352117,0,0
Spizocorys_sclateri,0,0,0,1,17.58085588,1.278753601,80,5,0.43088609,0.008414387,0,1
Artamus_cinereus,0,0,0,1,15.08338676,1.551449998,10,5,0.442376539,0.008090377,0,2
Artamus_cyanopterus,0,0,0,1,8.07701654,1.539076099,20,13,0.317615077,0.007502446,0,2
Artamus_fuscus,0,0,0,1,11.81974192,1.599883072,0,13,0.634943545,0.006519328,0,1
Artamus_insignis,0,0,NA,1,9.519080469,1.710117365,0,60,0.151190028,0.000578915,0,0
Artamus_leucorynchus,0,0,0,1,23.23985138,1.616393584,0,14,0.360570788,0.004757995,0,1
Artamus_maximus,0,0,0,1,33.04052819,1.764922985,0,73,0.148388281,0.000541532,0,1
Artamus_mentalis,0,0,NA,1,14.9367464,1.622214023,0,5,0.294662178,0.001824467,0,0
Artamus_minor,0,0,0,1,16.97231323,1.204119983,10,5,0.510793865,0.007913734,0,1
Artamus_monachus,0,0,NA,1,22.33162316,1.639586087,0,62.5,0.217291869,0.00044433,0,0
Artamus_personatus,0,0,0,1,65.10934693,1.539076099,30,5,0.442320451,0.008195609,0,1
Artamus_superciliosus,0,0,0,1,69.70039133,1.550228353,30,6,0.385155261,0.007992842,0,2
Atrichornis_clamosus,0,0,3,0,58.58859276,1.633973156,70,9,0.294753164,0.00543589,0,2
Atrichornis_rufescens,0,0,3,0,50.73500785,1.380211242,100,53,0.272982806,0.006787258,0,1
Bombycilla_cedrorum,0,0,0,1,10.5904048,1.499687083,0,44,0.239923477,0.015954796,0,3
Bombycilla_garrulus,0,0,0,1,14.04977415,1.734726241,0,36,0.251906067,0.02256508,1,3
